section,benefit,notes,MediShield Life,[Income] IncomeShield Plan C *,[Income] Enhanced IncomeShield C *,source_pdf,source_slug,source_page,source_table,repair_flags
,1 to 20,,148,155,168 - 186,01_basic.pdf,basic,5,1,
,21 to 30,,255,262,273,01_basic.pdf,basic,5,1,
,31 to 40,,397,406 - 416,428,01_basic.pdf,basic,5,1,
,41 to 50,,535,561 - 576,601 - 603,01_basic.pdf,basic,5,1,
,51 to 60,,815,878 - 888,907 - 911,01_basic.pdf,basic,5,1,
,61 to 65,,"1,039","1,132","1,245",01_basic.pdf,basic,5,1,
,66 to 70,,"1,121","1,241","1,455",01_basic.pdf,basic,5,1,
,71 to 73,,"1,217","1,384","1,729",01_basic.pdf,basic,5,1,
,74 to 75,,"1,345","1,543","1,964",01_basic.pdf,basic,5,1,
,76 to 78,,"1,559","1,788","2,338",01_basic.pdf,basic,5,1,
,79 to 80,,"1,620","1,899","2,513",01_basic.pdf,basic,5,1,
,81 to 83,,"1,706","1,931","2,804",01_basic.pdf,basic,5,1,
,84 to 85,,"1,971","2,203","3,151",01_basic.pdf,basic,5,1,
,86 to 90,,"2,063","2,501 - 2,627","3,309 - 3,404",01_basic.pdf,basic,5,1,
,Premiums above age 90,,"2,093","2,775 - 3,300","3,547 - 4,396",01_basic.pdf,basic,5,1,
