section,benefit,notes,Standard IP,source_pdf,source_slug,source_page,source_table,repair_flags
Other Policy Features,Pro-ration factors (for Singapore Citizens) (Note (1)),,Class A - 80% Private Hospital - 50% Private Hospital Day Surgery - 65% Outpatient treatment in Private Outpatient Clinics - 65%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,2,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),- Class C,,"1,500",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,2,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),- Class B2/B2+,,"2,000",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,2,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),- Class B1,,"2,500",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,2,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),- Class A and Private Hospital,,"2,500",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,2,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),- Subsidised Day Surgery/ Short Stay Wards,,"1,500",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,2,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),- Unsubsidised Day Surgery/ Short Stay Wards,,"2,000",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,2,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),Co-insurance,,10%,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,2,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),Policy Year Limit,,"200,000",02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,2,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)),Lifetime Limit,,Unlimited,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,2,1,
Other Policy Features | Deductibles (Per Policy Year) (Note (2)) | Final Expense Benefit | Last Entry Age,Maximum Coverage Age,,Lifetime,02_standard_integrated_shield_plans.pdf,standard_integrated_shield_plans,2,1,
