Benefits,[Income] IncomeShield Plan P*,[Income] Enhanced IncomeShield Preferred,[AIA] HealthShield Gold Max A,[Great Eastern] GREAT SupremeHealth A*,[Great Eastern] GREAT SupremeHealth P PLUS,[Prudential] PRUShield Premier,[Singlife] Singlife Shield Plan 1,[Singlife] Singlife Shield Starter,[HSBC Life] HSBC Life Shield Plan A,[Raffles Health Insurance] Raffles Shield Private
Additional Benefits Limits:,,,,,,,,,,
Pre-Hospitalisation Treatment (number of days indicate maximum number of days covered prior admission) (see Note (1)),"Limited to unused balance amount** of daily ward and treatment charges and community hospital (Up to 90 days) ** If the inpatient claim is made under a third party plan, Income will calculate the unused balance amount after assessing the inpatient bill based on Income’s IP limits and deductibles. For more information, please check with your financial advisor or Income.",As Charged Not provided by our Panel: Up to 100 days before admission Provided by our Panel: Up to 180 days before admission [Note (11)],As Charged Up to 100 days If admitted to / treated by AIA Preferred Providers: Up to 13 months [Note (2)],"Pre-hospital specialist’s consultation is limited to unused balance amount of room, board and medical- related services benefit (Up to 180 days)",(i) As Charged Up to 90 days for non- panel providers (ii) As Charged Up to 180 days for panel providers (both Extended & Main Panel) or Restructured Hospital,As Charged (Up to 180 days),(i) As Charged (Up to 90 days) [for non-panel specialist in a private hospital] (ii) As Charged (Up to 180 days) [for A&E and preferred medical providers],-,As Charged (Up to 180 days),"As Charged (up to 180 days for treatment by Panel, Extended Panel specialist or in restructured hospitals, 90 days otherwise)"
Post-Hospitalisation Treatment (number of days indicate maximum number of days covered after discharge) (see Note (1)),As Charged Not provided by our Panel: Up to 100 days after discharge Provided by our  Panel: Up to 365 days after discharge [Note (11)],"As Charged (Up to 100 days, with additional 100 days for 30 critical illnesses) If admitted to / treated by AIA Preferred Providers: Up to 13 months (the additional 100 days for 30 Critical Illnesses is not applicable) [Note (2)]","Post-hospitalisation treatment is limited to unused balance amount of room, board and medical- related services benefit (Up to 365 days)",(i) As Charged Up to 180 days for non- panel providers (ii) As Charged Up to 365 days for panel providers (both Extended & Main Panel) or Restructured Hospital,As Charged (Up to 365 days),(i) As Charged (Up to 180 days) [for non-panel specialist in a private hospital] (ii) As Charged (Up to 365 days) [for A&E and preferred medical providers],-,As Charged (Up to 365 days),"As Charged (up to 365 days for treatment by Panel, Extended Panel specialist or in restructured hospitals, 180 days otherwise)",
Other Post-Hospitalization Treatment (number of days indicate maximum number of days covered after discharge),-,-,-,-,-,"Hyperbaric Oxygen Therapy: 10,000/yr (Up to 365 days)",-,-,-,-
Major Organ Transplant,Covered under Inpatient and Day surgery limits,As Charged,As Charged,Covered under existing inpatient / day surgery limits,As Charged,As Charged (for selected organs),As Charged (for selected organs),Covered under Inpatient and Day surgery limits,As Charged (for selected organs),As Charged
Living Donor Organ Transplant (Insured as the Living Donor donating an organ) (after 24 mths waiting period) (Note (3)),-,"60,000/transplant","60,000/transplant",-,"60,000/transplant","60,000/yr (Note (4))","50,000/ lifetime",-,"60,000/transplant","60,000/transplant"
Living Donor Organ Transplant (Non-insured donating an organ to Insured),-,,"60,000/transplant (Note (4))",-,"60,000/transplant",-,-,"60,000/transplant","60,000/transplant (Note (4))",
Pregnancy and Delivery-Related Complications Benefit* (after 10 months (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details.,"7,000/yr",As Charged,A   s   C  h  a rged,Covered under existing i npatient / day surgery limits,As Charged,As Charged,As Charged,As Charged,As Charged,As Charged
