plan_id,tier_code,tier_slug,age_band_raw,age_start,age_end,age_open_ended,premium_total_raw,premium_total_min,premium_total_max,premium_excl_mshl_raw,premium_excl_mshl_min,premium_excl_mshl_max,annual_change_raw,annual_change_min_pct,annual_change_max_pct,premium_available,availability_note,source_kind,source_pdf,source_page,source_table,source_slug,repair_flags
basic__income__incomeshield_plan_c,basic,basic,84 to 85,84,85.0,False,"2,203",2203.0,2203.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,84 to 85,84,85.0,False,"3,151",3151.0,3151.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,86 to 90,86,90.0,False,"2,063",2063.0,2063.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,86 to 90,86,90.0,False,"2,501 - 2,627",2501.0,2627.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,86 to 90,86,90.0,False,"3,309 - 3,404",3309.0,3404.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__medishield_life,basic,basic,Premiums above age 90,91,,True,"2,093",2093.0,2093.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Premiums above age 90,91,,True,"2,775 - 3,300",2775.0,3300.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Premiums above age 90,91,,True,"3,547 - 4,396",3547.0,4396.0,,,,,,,True,,premium_summary,01_basic.pdf,5,1,basic,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,1 to 20,1,20.0,False,183 - 184,183.0,184.0,35 - 36,35.0,36.0,7.5% to 7.7%,7.5,7.7,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,1 to 20,1,20.0,False,209,209.0,209.0,61,61.0,61.0,6.9%,6.9,6.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,21 to 30,21,30.0,False,300,300.0,300.0,45,45.0,45.0,7.7% to 7.7%,7.7,7.7,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,21 to 30,21,30.0,False,320,320.0,320.0,65,65.0,65.0,7.1%,7.1,7.1,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,31 to 40,31,40.0,False,464,464.0,464.0,67,67.0,67.0,7.5% to 10.2%,7.5,10.2,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,31 to 40,31,40.0,False,485,485.0,485.0,88,88.0,88.0,6.8%,6.8,6.8,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__income__incomeshield_standard_plan,standard,standard_integrated_shield_plans,41 to 50,41,50.0,False,652 - 675,652.0,675.0,117 - 140,117.0,140.0,9.7% to 10.4%,9.7,10.4,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
standard__aia__healthshield_gold_max_standard_plan,standard,standard_integrated_shield_plans,41 to 50,41,50.0,False,672 - 696,672.0,696.0,137 - 161,137.0,161.0,6.8% to 7.9%,6.8,7.9,True,,premium_detail,02_standard_integrated_shield_plans.pdf,4,1,standard_integrated_shield_plans,
