plan_id,tier_code,tier_slug,section_raw,benefit_raw,notes_raw,coverage_value_raw,is_blank_value,section_norm,benefit_norm,search_text_norm,source_pdf,source_page,source_table,source_slug,repair_flags
basic__income__enhanced_incomeshield_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Inpatient Palliative Care Service (General),,As Charged,False,inpatient and day surgery daily ward and treatment charges,inpatient palliative care service general,inpatient and day surgery daily ward and treatment charges inpatient palliative care service general as charged,01_basic.pdf,1,1,basic,
basic__medishield_life,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Inpatient Palliative Care Service (Specialised),,500/day,False,inpatient and day surgery daily ward and treatment charges,inpatient palliative care service specialised,inpatient and day surgery daily ward and treatment charges inpatient palliative care service specialised 500 day,01_basic.pdf,1,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Inpatient Palliative Care Service (Specialised),,-,False,inpatient and day surgery daily ward and treatment charges,inpatient palliative care service specialised,inpatient and day surgery daily ward and treatment charges inpatient palliative care service specialised,01_basic.pdf,1,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Inpatient Palliative Care Service (Specialised),,As Charged,False,inpatient and day surgery daily ward and treatment charges,inpatient palliative care service specialised,inpatient and day surgery daily ward and treatment charges inpatient palliative care service specialised as charged,01_basic.pdf,1,1,basic,
basic__medishield_life,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Surgical Procedures,,"240 - 2,600",False,inpatient and day surgery daily ward and treatment charges,surgical procedures,inpatient and day surgery daily ward and treatment charges surgical procedures 240 2 600,01_basic.pdf,1,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Surgical Procedures,,"400 - 6,800",False,inpatient and day surgery daily ward and treatment charges,surgical procedures,inpatient and day surgery daily ward and treatment charges surgical procedures 400 6 800,01_basic.pdf,1,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Surgical Procedures,,As Charged,False,inpatient and day surgery daily ward and treatment charges,surgical procedures,inpatient and day surgery daily ward and treatment charges surgical procedures as charged,01_basic.pdf,1,1,basic,
basic__medishield_life,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Implants,,"7,000/treatment",False,inpatient and day surgery daily ward and treatment charges,implants,inpatient and day surgery daily ward and treatment charges implants 7 000 treatment,01_basic.pdf,1,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Implants,,7000/admission,False,inpatient and day surgery daily ward and treatment charges,implants,inpatient and day surgery daily ward and treatment charges implants 7000 admission,01_basic.pdf,1,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Implants,,As Charged,False,inpatient and day surgery daily ward and treatment charges,implants,inpatient and day surgery daily ward and treatment charges implants as charged,01_basic.pdf,1,1,basic,
basic__medishield_life,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,"Radiosurgery, including Proton Beam Therapy - Category 4 [Note (6)]",,"10,000/treatment course",False,inpatient and day surgery daily ward and treatment charges,radiosurgery including proton beam therapy category 4 note 6,inpatient and day surgery daily ward and treatment charges radiosurgery including proton beam therapy category 4 note 6 10 000 treatment course,01_basic.pdf,1,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,"Radiosurgery, including Proton Beam Therapy - Category 4 [Note (6)]",,"9,600/treatment course",False,inpatient and day surgery daily ward and treatment charges,radiosurgery including proton beam therapy category 4 note 6,inpatient and day surgery daily ward and treatment charges radiosurgery including proton beam therapy category 4 note 6 9 600 treatment course,01_basic.pdf,1,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,"Radiosurgery, including Proton Beam Therapy - Category 4 [Note (6)]",,As Charged,False,inpatient and day surgery daily ward and treatment charges,radiosurgery including proton beam therapy category 4 note 6,inpatient and day surgery daily ward and treatment charges radiosurgery including proton beam therapy category 4 note 6 as charged,01_basic.pdf,1,1,basic,
basic__medishield_life,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Continuation of Autologous Bone Marrow Transplant Treatment for Multiple Myeloma [Note (5)],,"6,000/treatment",False,inpatient and day surgery daily ward and treatment charges,continuation of autologous bone marrow transplant treatment for multiple myeloma note 5,inpatient and day surgery daily ward and treatment charges continuation of autologous bone marrow transplant treatment for multiple myeloma note 5 6 000 treatment,01_basic.pdf,1,1,basic,
basic__income__incomeshield_plan_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Continuation of Autologous Bone Marrow Transplant Treatment for Multiple Myeloma [Note (5)],,-,False,inpatient and day surgery daily ward and treatment charges,continuation of autologous bone marrow transplant treatment for multiple myeloma note 5,inpatient and day surgery daily ward and treatment charges continuation of autologous bone marrow transplant treatment for multiple myeloma note 5,01_basic.pdf,1,1,basic,
basic__income__enhanced_incomeshield_c,basic,basic,Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Continuation of Autologous Bone Marrow Transplant Treatment for Multiple Myeloma [Note (5)],,"10,000/yr",False,inpatient and day surgery daily ward and treatment charges,continuation of autologous bone marrow transplant treatment for multiple myeloma note 5,inpatient and day surgery daily ward and treatment charges continuation of autologous bone marrow transplant treatment for multiple myeloma note 5 10 000 yr,01_basic.pdf,1,1,basic,
