plan_id,tier_code,tier_slug,section_raw,benefit_raw,notes_raw,coverage_value_raw,is_blank_value,section_norm,benefit_norm,search_text_norm,source_pdf,source_page,source_table,source_slug,repair_flags
class_b1__aia__healthshield_gold_max_b_lite,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for insured donor (after 24 mths waiting period)",,"20,000/transplant",False,additional benefits limits,living donor organ transplant coverage for insured donor after 24 mths waiting period,additional benefits limits living donor organ transplant coverage for insured donor after 24 mths waiting period 20 000 transplant,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for insured donor (after 24 mths waiting period)",,-,False,additional benefits limits,living donor organ transplant coverage for insured donor after 24 mths waiting period,additional benefits limits living donor organ transplant coverage for insured donor after 24 mths waiting period,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b_plus,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for insured donor (after 24 mths waiting period)",,"20,000/transplant (Note (2))",False,additional benefits limits,living donor organ transplant coverage for insured donor after 24 mths waiting period,additional benefits limits living donor organ transplant coverage for insured donor after 24 mths waiting period 20 000 transplant note 2,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__prudential__prushield_b,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for insured donor (after 24 mths waiting period)",,-,False,additional benefits limits,living donor organ transplant coverage for insured donor after 24 mths waiting period,additional benefits limits living donor organ transplant coverage for insured donor after 24 mths waiting period,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__singlife__singlife_shield_plan_3,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for insured donor (after 24 mths waiting period)",,"20,000/lifetime (Note (2))",False,additional benefits limits,living donor organ transplant coverage for insured donor after 24 mths waiting period,additional benefits limits living donor organ transplant coverage for insured donor after 24 mths waiting period 20 000 lifetime note 2,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__raffles_health_insurance__raffles_shield_b,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for insured donor (after 24 mths waiting period)",,"20,000/transplant",False,additional benefits limits,living donor organ transplant coverage for insured donor after 24 mths waiting period,additional benefits limits living donor organ transplant coverage for insured donor after 24 mths waiting period 20 000 transplant,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__income__incomeshield_plan_b,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for non-insured donor",,-,False,additional benefits limits,living donor organ transplant coverage for non insured donor,additional benefits limits living donor organ transplant coverage for non insured donor,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__income__enhanced_incomeshield_basic,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for non-insured donor",,-,False,additional benefits limits,living donor organ transplant coverage for non insured donor,additional benefits limits living donor organ transplant coverage for non insured donor,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_c,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for non-insured donor",,"20,000/transplant (Note (3))",False,additional benefits limits,living donor organ transplant coverage for non insured donor,additional benefits limits living donor organ transplant coverage for non insured donor 20 000 transplant note 3,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_b_lite,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for non-insured donor",,"20,000/transplant (Note (3))",False,additional benefits limits,living donor organ transplant coverage for non insured donor,additional benefits limits living donor organ transplant coverage for non insured donor 20 000 transplant note 3,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for non-insured donor",,-,False,additional benefits limits,living donor organ transplant coverage for non insured donor,additional benefits limits living donor organ transplant coverage for non insured donor,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b_plus,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for non-insured donor",,"20,000 / transplant (Note (2))",False,additional benefits limits,living donor organ transplant coverage for non insured donor,additional benefits limits living donor organ transplant coverage for non insured donor 20 000 transplant note 2,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__prudential__prushield_b,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for non-insured donor",,-,False,additional benefits limits,living donor organ transplant coverage for non insured donor,additional benefits limits living donor organ transplant coverage for non insured donor,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__singlife__singlife_shield_plan_3,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for non-insured donor",,-,False,additional benefits limits,living donor organ transplant coverage for non insured donor,additional benefits limits living donor organ transplant coverage for non insured donor,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__raffles_health_insurance__raffles_shield_b,class_b1,class_b1_plans,Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for non-insured donor",,"20,000/transplant (Note (3))",False,additional benefits limits,living donor organ transplant coverage for non insured donor,additional benefits limits living donor organ transplant coverage for non insured donor 20 000 transplant note 3,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__income__incomeshield_plan_b,class_b1,class_b1_plans,Additional Benefits Limits:,Pregnancy and Delivery-Related Complications Benefit* (after 10 months (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details.,,"3,500/yr",False,additional benefits limits,pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details,additional benefits limits pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details 3 500 yr,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__income__enhanced_incomeshield_basic,class_b1,class_b1_plans,Additional Benefits Limits:,Pregnancy and Delivery-Related Complications Benefit* (after 10 months (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details.,,A s Charged,False,additional benefits limits,pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details,additional benefits limits pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details a s charged,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_c,class_b1,class_b1_plans,Additional Benefits Limits:,Pregnancy and Delivery-Related Complications Benefit* (after 10 months (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details.,,-,False,additional benefits limits,pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details,additional benefits limits pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_b_lite,class_b1,class_b1_plans,Additional Benefits Limits:,Pregnancy and Delivery-Related Complications Benefit* (after 10 months (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details.,,As Charged,False,additional benefits limits,pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details,additional benefits limits pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details as charged,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b,class_b1,class_b1_plans,Additional Benefits Limits:,Pregnancy and Delivery-Related Complications Benefit* (after 10 months (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details.,,Covered under existing inpatient / day surgery limits,False,additional benefits limits,pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details,additional benefits limits pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details covered under existing inpatient day surgery limits,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b_plus,class_b1,class_b1_plans,Additional Benefits Limits:,Pregnancy and Delivery-Related Complications Benefit* (after 10 months (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details.,,As Charged,False,additional benefits limits,pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details,additional benefits limits pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details as charged,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__prudential__prushield_b,class_b1,class_b1_plans,Additional Benefits Limits:,Pregnancy and Delivery-Related Complications Benefit* (after 10 months (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details.,,-,False,additional benefits limits,pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details,additional benefits limits pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__singlife__singlife_shield_plan_3,class_b1,class_b1_plans,Additional Benefits Limits:,Pregnancy and Delivery-Related Complications Benefit* (after 10 months (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details.,,As Charged,False,additional benefits limits,pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details,additional benefits limits pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details as charged,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__raffles_health_insurance__raffles_shield_b,class_b1,class_b1_plans,Additional Benefits Limits:,Pregnancy and Delivery-Related Complications Benefit* (after 10 months (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details.,,As Charged,False,additional benefits limits,pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details,additional benefits limits pregnancy and delivery related complications benefit after 10 months or 300 days waiting period for selected conditions only please check with your insurer for further details as charged,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__income__incomeshield_plan_b,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured,,"5,000/yr (with 24 mths waiting period)",False,additional benefits limits,congenital abnormalities benefit of insured,additional benefits limits congenital abnormalities benefit of insured 5 000 yr with 24 mths waiting period,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__income__enhanced_incomeshield_basic,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured,,As Charged ( w i t h 1 2 m ths waiting period),False,additional benefits limits,congenital abnormalities benefit of insured,additional benefits limits congenital abnormalities benefit of insured as charged w i t h 1 2 m ths waiting period,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_c,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured,,Covered up to benefit limits of the plan,False,additional benefits limits,congenital abnormalities benefit of insured,additional benefits limits congenital abnormalities benefit of insured covered up to benefit limits of the plan,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_b_lite,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured,,Covered up to benefit limits of the plan,False,additional benefits limits,congenital abnormalities benefit of insured,additional benefits limits congenital abnormalities benefit of insured covered up to benefit limits of the plan,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured,,Covered under existing inpatient / day surgery limits,False,additional benefits limits,congenital abnormalities benefit of insured,additional benefits limits congenital abnormalities benefit of insured covered under existing inpatient day surgery limits,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b_plus,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured,,As Charged,False,additional benefits limits,congenital abnormalities benefit of insured,additional benefits limits congenital abnormalities benefit of insured as charged,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__prudential__prushield_b,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured,,-,False,additional benefits limits,congenital abnormalities benefit of insured,additional benefits limits congenital abnormalities benefit of insured,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__singlife__singlife_shield_plan_3,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured,,As Charged (with 12 mths waiting period),False,additional benefits limits,congenital abnormalities benefit of insured,additional benefits limits congenital abnormalities benefit of insured as charged with 12 mths waiting period,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__raffles_health_insurance__raffles_shield_b,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured,,As Charged (with 24 mths waiting period),False,additional benefits limits,congenital abnormalities benefit of insured,additional benefits limits congenital abnormalities benefit of insured as charged with 24 mths waiting period,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__income__incomeshield_plan_b,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured's Biological Child,,-,False,additional benefits limits,congenital abnormalities benefit of insured s biological child,additional benefits limits congenital abnormalities benefit of insured s biological child,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__income__enhanced_incomeshield_basic,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured's Biological Child,,-,False,additional benefits limits,congenital abnormalities benefit of insured s biological child,additional benefits limits congenital abnormalities benefit of insured s biological child,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_c,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured's Biological Child,,-,False,additional benefits limits,congenital abnormalities benefit of insured s biological child,additional benefits limits congenital abnormalities benefit of insured s biological child,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_b_lite,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured's Biological Child,,"[Only for insured female] 12,000 per lifetime Limited to 3,000 per child (with 10 mths waiting period)",False,additional benefits limits,congenital abnormalities benefit of insured s biological child,additional benefits limits congenital abnormalities benefit of insured s biological child only for insured female 12 000 per lifetime limited to 3 000 per child with 10 mths waiting period,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured's Biological Child,,-,False,additional benefits limits,congenital abnormalities benefit of insured s biological child,additional benefits limits congenital abnormalities benefit of insured s biological child,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b_plus,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured's Biological Child,,"12,000 / lifetime Limited to 3,000 / child (with 300 days waiting period)",False,additional benefits limits,congenital abnormalities benefit of insured s biological child,additional benefits limits congenital abnormalities benefit of insured s biological child 12 000 lifetime limited to 3 000 child with 300 days waiting period,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__prudential__prushield_b,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured's Biological Child,,-,False,additional benefits limits,congenital abnormalities benefit of insured s biological child,additional benefits limits congenital abnormalities benefit of insured s biological child,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__singlife__singlife_shield_plan_3,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured's Biological Child,,-,False,additional benefits limits,congenital abnormalities benefit of insured s biological child,additional benefits limits congenital abnormalities benefit of insured s biological child,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__raffles_health_insurance__raffles_shield_b,class_b1,class_b1_plans,Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured's Biological Child,,"[Only for insured female] 15,000/ lifetime Limited to 3,000/ child (with 10 mths waiting period)",False,additional benefits limits,congenital abnormalities benefit of insured s biological child,additional benefits limits congenital abnormalities benefit of insured s biological child only for insured female 15 000 lifetime limited to 3 000 child with 10 mths waiting period,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__income__incomeshield_plan_b,class_b1,class_b1_plans,Additional Benefits Limits:,Prosthesis Benefit,,"6,000/yr",False,additional benefits limits,prosthesis benefit,additional benefits limits prosthesis benefit 6 000 yr,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__income__enhanced_incomeshield_basic,class_b1,class_b1_plans,Additional Benefits Limits:,Prosthesis Benefit,,"6,000/yr",False,additional benefits limits,prosthesis benefit,additional benefits limits prosthesis benefit 6 000 yr,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_c,class_b1,class_b1_plans,Additional Benefits Limits:,Prosthesis Benefit,,-,False,additional benefits limits,prosthesis benefit,additional benefits limits prosthesis benefit,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_b_lite,class_b1,class_b1_plans,Additional Benefits Limits:,Prosthesis Benefit,,-,False,additional benefits limits,prosthesis benefit,additional benefits limits prosthesis benefit,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b,class_b1,class_b1_plans,Additional Benefits Limits:,Prosthesis Benefit,,-,False,additional benefits limits,prosthesis benefit,additional benefits limits prosthesis benefit,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b_plus,class_b1,class_b1_plans,Additional Benefits Limits:,Prosthesis Benefit,,-,False,additional benefits limits,prosthesis benefit,additional benefits limits prosthesis benefit,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__prudential__prushield_b,class_b1,class_b1_plans,Additional Benefits Limits:,Prosthesis Benefit,,-,False,additional benefits limits,prosthesis benefit,additional benefits limits prosthesis benefit,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__singlife__singlife_shield_plan_3,class_b1,class_b1_plans,Additional Benefits Limits:,Prosthesis Benefit,,-,False,additional benefits limits,prosthesis benefit,additional benefits limits prosthesis benefit,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__raffles_health_insurance__raffles_shield_b,class_b1,class_b1_plans,Additional Benefits Limits:,Prosthesis Benefit,,-,False,additional benefits limits,prosthesis benefit,additional benefits limits prosthesis benefit,03_class_b1_plans.pdf,3,1,class_b1_plans,
class_b1__income__incomeshield_plan_b,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Critical Illnesses,,-,False,additional benefits limits cont d,critical illnesses,additional benefits limits cont d critical illnesses,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__income__enhanced_incomeshield_basic,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Critical Illnesses,,-,False,additional benefits limits cont d,critical illnesses,additional benefits limits cont d critical illnesses,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_c,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Critical Illnesses,,"Addtl 30,000 policy yr limit (for 30 Critical Illnesses) (Note (4))",False,additional benefits limits cont d,critical illnesses,additional benefits limits cont d critical illnesses addtl 30 000 policy yr limit for 30 critical illnesses note 4,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_b_lite,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Critical Illnesses,,"Addtl 50,000 policy yr limit (for 30 Critical Illnesses) (Note (4))",False,additional benefits limits cont d,critical illnesses,additional benefits limits cont d critical illnesses addtl 50 000 policy yr limit for 30 critical illnesses note 4,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Critical Illnesses,,-,False,additional benefits limits cont d,critical illnesses,additional benefits limits cont d critical illnesses,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b_plus,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Critical Illnesses,,-,False,additional benefits limits cont d,critical illnesses,additional benefits limits cont d critical illnesses,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__prudential__prushield_b,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Critical Illnesses,,-,False,additional benefits limits cont d,critical illnesses,additional benefits limits cont d critical illnesses,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__singlife__singlife_shield_plan_3,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Critical Illnesses,,"Additional 50,000/yr (for 5 Critical Illnesses) (Note (4))",False,additional benefits limits cont d,critical illnesses,additional benefits limits cont d critical illnesses additional 50 000 yr for 5 critical illnesses note 4,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__raffles_health_insurance__raffles_shield_b,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Critical Illnesses,,-,False,additional benefits limits cont d,critical illnesses,additional benefits limits cont d critical illnesses,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__income__incomeshield_plan_b,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Emergency overseas treatment,,Covered under Inpatient and Day surgery limits,False,additional benefits limits cont d,emergency overseas treatment,additional benefits limits cont d emergency overseas treatment covered under inpatient and day surgery limits,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__income__enhanced_incomeshield_basic,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Emergency overseas treatment,,As Charged but limited to costs of ward class B1 in Singapore restructured hospitals,False,additional benefits limits cont d,emergency overseas treatment,additional benefits limits cont d emergency overseas treatment as charged but limited to costs of ward class b1 in singapore restructured hospitals,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_c,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Emergency overseas treatment,,Reimburse Eligible Expenses incurred for overseas medical or surgical treatment subject to the applicable claim limits under AIA HealthShield Gold Max C. Benefit payable under Emergency Overseas (Outside Singapore) Medical Treatment Benefit limited to the level of reasonable and customary charges in a Singapore Private Hospital.,False,additional benefits limits cont d,emergency overseas treatment,additional benefits limits cont d emergency overseas treatment reimburse eligible expenses incurred for overseas medical or surgical treatment subject to the applicable claim limits under aia healthshield gold max c benefit payable under emergency overseas outside singapore medical treatment benefit limited to the level of reasonable and customary charges in a singapore private hospital,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_b_lite,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Emergency overseas treatment,,Reimburse Eligible Expenses incurred for overseas medical or surgical treatment subject to the applicable claim limits under AIA HealthShield Gold Max B Lite. Benefit payable under Emergency Overseas (Outside Singapore) Medical Treatment Benefit limited to the level of reasonable and customary charges in a Singapore Private Hospital.,False,additional benefits limits cont d,emergency overseas treatment,additional benefits limits cont d emergency overseas treatment reimburse eligible expenses incurred for overseas medical or surgical treatment subject to the applicable claim limits under aia healthshield gold max b lite benefit payable under emergency overseas outside singapore medical treatment benefit limited to the level of reasonable and customary charges in a singapore private hospital,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Emergency overseas treatment,,"Reimburse the actual Expenses incurred overseas or the Reasonable and Customary Charges applicable in a Class B1 ward of a Restructured Hospital, whichever is the lower, subject to the benefit limits of GREAT SupremeHealth B.",False,additional benefits limits cont d,emergency overseas treatment,additional benefits limits cont d emergency overseas treatment reimburse the actual expenses incurred overseas or the reasonable and customary charges applicable in a class b1 ward of a restructured hospital whichever is the lower subject to the benefit limits of great supremehealth b,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b_plus,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Emergency overseas treatment,,"Reimburse the actual Expenses incurred overseas or the Reasonable and Customary Charges applicable in a Class B1 ward of a Restructured Hospital, whichever is the lower, subject to the benefit limits of GREAT SupremeHealth B PLUS.",False,additional benefits limits cont d,emergency overseas treatment,additional benefits limits cont d emergency overseas treatment reimburse the actual expenses incurred overseas or the reasonable and customary charges applicable in a class b1 ward of a restructured hospital whichever is the lower subject to the benefit limits of great supremehealth b plus,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__prudential__prushield_b,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Emergency overseas treatment,,Reimburse the lower of Hospital expenses incurred up to the limits covered by PRUShield B or the actual Reasonable and Cusotmary Expenses,False,additional benefits limits cont d,emergency overseas treatment,additional benefits limits cont d emergency overseas treatment reimburse the lower of hospital expenses incurred up to the limits covered by prushield b or the actual reasonable and cusotmary expenses,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__singlife__singlife_shield_plan_3,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Emergency overseas treatment,,As Charged (pegged to costs restructured hospitals in Singapore),False,additional benefits limits cont d,emergency overseas treatment,additional benefits limits cont d emergency overseas treatment as charged pegged to costs restructured hospitals in singapore,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__raffles_health_insurance__raffles_shield_b,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Emergency overseas treatment,,As Charged (limited to Singapore Restructured Hospital Class B1 Ward charges),False,additional benefits limits cont d,emergency overseas treatment,additional benefits limits cont d emergency overseas treatment as charged limited to singapore restructured hospital class b1 ward charges,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__income__incomeshield_plan_b,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Planned overseas treatment,,-,False,additional benefits limits cont d,planned overseas treatment,additional benefits limits cont d planned overseas treatment,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__income__enhanced_incomeshield_basic,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Planned overseas treatment,,-,False,additional benefits limits cont d,planned overseas treatment,additional benefits limits cont d planned overseas treatment,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_c,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Planned overseas treatment,,-,False,additional benefits limits cont d,planned overseas treatment,additional benefits limits cont d planned overseas treatment,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__aia__healthshield_gold_max_b_lite,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Planned overseas treatment,,-,False,additional benefits limits cont d,planned overseas treatment,additional benefits limits cont d planned overseas treatment,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Planned overseas treatment,,-,False,additional benefits limits cont d,planned overseas treatment,additional benefits limits cont d planned overseas treatment,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__great_eastern__great_supremehealth_b_plus,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Planned overseas treatment,,-,False,additional benefits limits cont d,planned overseas treatment,additional benefits limits cont d planned overseas treatment,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__prudential__prushield_b,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Planned overseas treatment,,-,False,additional benefits limits cont d,planned overseas treatment,additional benefits limits cont d planned overseas treatment,03_class_b1_plans.pdf,4,1,class_b1_plans,
class_b1__singlife__singlife_shield_plan_3,class_b1,class_b1_plans,Additional Benefits Limits (Cont'd):,Planned overseas treatment,,As Charged (pegged to costs of restructured hospitals in Singapore) (Note (5)),False,additional benefits limits cont d,planned overseas treatment,additional benefits limits cont d planned overseas treatment as charged pegged to costs of restructured hospitals in singapore note 5,03_class_b1_plans.pdf,4,1,class_b1_plans,
