section,benefit,notes,[Income] IncomeShield Plan B*,[Income] Enhanced IncomeShield Basic,[AIA] HealthShield Gold Max C*,[AIA] HealthShield Gold Max B Lite,[Great Eastern] GREAT SupremeHealth B*,[Great Eastern] GREAT SupremeHealth B PLUS,[Prudential] PRUShield B*,[Singlife] Singlife Shield Plan 3,[Raffles Health Insurance] Raffles Shield B,source_pdf,source_slug,source_page,source_table,repair_flags
Additional Benefits Limits:,Pre-Hospitalisation Treatment (number of days indicate maximum number of days covered prior admission) (Note (1)),,"Limited to unused balance amount** of daily ward and treatment charges and community hospital. (Up to 90 days) ** If the inpatient claim is made under a third party plan, Income will calculate the unused balance amount after assessing the inpatient bill based on Income’s IP limits and deductibles. For more information, please check with your financial advisor or Income.",As Charged (up to 100 days),500/confinement (Up to 100 days),As Charged (Up to 100 days),"Pre-hospital specialist’s consultation is limited to unused balance amount of room, board and medical- related services benefit. (Up to 180 days)",(i) As Charged Up to 90 days for non-panel providers (ii) As Charged Up to 180 days for panel providers (both Extended & Main Panel) or Restructured Hospital,-,(i) As Charged (Up to 90 days) [for non-panel specialist in a private hospital] (ii) As Charged (Up to 180 days) [for A&E and preferred medical providers],As Charged (Up to 90 days),03_class_b1_plans.pdf,class_b1_plans,3,1,
Additional Benefits Limits:,Post-Hospitalisation Treatment (number of days indicate maximum number of days covered after discharge) (Note (1)),,As Charged (up to 100 days),"1,000/confinement (Up to 100 days). Additional 1,000 for an additional 100 days for 30 critical illnesses)",As Charged (Up to 100 days),"Post-hospitalisation treatment is limited to unused balance amount of room, board and medical-related services benefit. (Up to 365 days)",(i) As Charged Up to 180 days for non-panel providers (ii) As Charged Up to 365 days for panel providers (both Extended & Main Panel) or Restructured Hospital,-,(i) As Charged (Up to 180 days) [for non-panel specialist in a private hospital] (ii) As Charged (Up to 365 days) [for A&E and preferred medical providers],As Charged (Up to 90 days ),As Charged (Up to 90 days),03_class_b1_plans.pdf,class_b1_plans,3,1,forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield B
Additional Benefits Limits:,Major Organ Transplant,,Covered under Inpatient and Day surgery limits,As Charged,"As Charged in Governmen/Restructured Hospitals, else subject to pro- ration factor",As Charged,Covered under existing inpatient / day surgery limits,As Charged,-,As Charged (for selected organs only),As Charged,03_class_b1_plans.pdf,class_b1_plans,3,1,
Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for insured donor (after 24 mths waiting period)",,-,"20,000/transplant","20,000/transplant","20,000/transplant",-,"20,000/transplant (Note (2))",-,"20,000/lifetime (Note (2))","20,000/transplant",03_class_b1_plans.pdf,class_b1_plans,3,1,
Additional Benefits Limits:,"Living Donor Organ Transplant, coverage for non-insured donor",,-,-,"20,000/transplant (Note (3))","20,000/transplant (Note (3))",-,"20,000 / transplant (Note (2))",-,-,"20,000/transplant (Note (3))",03_class_b1_plans.pdf,class_b1_plans,3,1,
Additional Benefits Limits:,Pregnancy and Delivery-Related Complications Benefit* (after 10 months (or 300 days) waiting period) * For selected conditions only - please check with your insurer for further details.,,"3,500/yr",A s Charged,-,As Charged,Covered under existing inpatient / day surgery limits,As Charged,-,As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,3,1,
Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured,,"5,000/yr (with 24 mths waiting period)",As Charged ( w i t h 1 2 m ths waiting period),Covered up to benefit limits of the plan,Covered up to benefit limits of the plan,Covered under existing inpatient / day surgery limits,As Charged,-,As Charged (with 12 mths waiting period),As Charged (with 24 mths waiting period),03_class_b1_plans.pdf,class_b1_plans,3,1,
Additional Benefits Limits:,Congenital Abnormalities Benefit of Insured's Biological Child,,-,-,-,"[Only for insured female] 12,000 per lifetime Limited to 3,000 per child (with 10 mths waiting period)",-,"12,000 / lifetime Limited to 3,000 / child (with 300 days waiting period)",-,-,"[Only for insured female] 15,000/ lifetime Limited to 3,000/ child (with 10 mths waiting period)",03_class_b1_plans.pdf,class_b1_plans,3,1,
Additional Benefits Limits:,Prosthesis Benefit,,"6,000/yr","6,000/yr",-,-,-,-,-,-,-,03_class_b1_plans.pdf,class_b1_plans,3,1,
