section,benefit,notes,[Income] IncomeShield Plan B*,[Income] Enhanced IncomeShield Basic,[AIA] HealthShield Gold Max C*,[AIA] HealthShield Gold Max B Lite,[Great Eastern] GREAT SupremeHealth B*,[Great Eastern] GREAT SupremeHealth B PLUS,[Prudential] PRUShield B*,[Singlife] Singlife Shield Plan 3,[Raffles Health Insurance] Raffles Shield B,source_pdf,source_slug,source_page,source_table,repair_flags
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Treatment* (*Refer to the Cancer Drug List on the MOH website for the applicable MediShield Life claim limit),,3x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,5x MediShield Life limit/mth,3x MediShield Life limit/mth [Note (14)],5x MediShield Life limit/mth,5x MediShield Life limit/mth,03_class_b1_plans.pdf,class_b1_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Services,,"3x MediShield Life limit/yr (10,800/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","3x MediShield Life limit/yr (10,800/yr) [Note (14)]","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)",03_class_b1_plans.pdf,class_b1_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer,Patients receiving treatment for multiple pri,,ary cancers,"5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)","3x MediShield Life limit/yr (10,800/yr) [Note (14)]","5x MediShield Life limit/yr (18,000/yr)","5x MediShield Life limit/yr (18,000/yr)",03_class_b1_plans.pdf,class_b1_plans,2,1,forward_fill_from_previous:[Income] Enhanced IncomeShield Basic|forward_fill_from_previous:[AIA] HealthShield Gold Max C*|forward_fill_from_previous:[AIA] HealthShield Gold Max B Lite|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B*|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B PLUS|forward_fill_from_previous:[Prudential] PRUShield B*|forward_fill_from_previous:[Singlife] Singlife Shield Plan 3|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield B
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Treatment,,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,The total amount up to the highest limit among the cancer drug treatments received in that month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month [Note (14)],Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month,03_class_b1_plans.pdf,class_b1_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer,- Cancer Drug Services,,"3x MediShield Life limit for multiple primary cancers (21,600/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","Same limit as that for one primary cancer (18,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)","3x MediShield Life limit for multiple primary cancers (21,600/yr) [Note (14)]","5x MediShield Life limit for multiple primary cancers (36,000/yr)","5x MediShield Life limit for multiple primary cancers (36,000/yr)",03_class_b1_plans.pdf,class_b1_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- External (Except Hemi-Body),,300/treatment,,280/treatment,As Charged,900/treatment,As Charged,550/day,As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- Brachytherapy,,500/treatment,,500/treatment,"1,200/treatment",900/treatment,As Charged,550/day,As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,2,1,forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B*|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B PLUS|forward_fill_from_previous:[Prudential] PRUShield B*|forward_fill_from_previous:[Singlife] Singlife Shield Plan 3|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield B
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- Hemi-Body,,-,,-,"2,600/treatment",900/treatment,As Charged,550/day,As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,2,1,forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B*|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B PLUS|forward_fill_from_previous:[Prudential] PRUShield B*|forward_fill_from_previous:[Singlife] Singlife Shield Plan 3|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield B
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- Stereotactic,,"2,500/treatment",,"2,000/treatment","2,600/treatment","6,300/treatment","2,000/treatment",550/day,As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,2,1,forward_fill_from_previous:[AIA] HealthShield Gold Max B Lite|forward_fill_from_previous:[Prudential] PRUShield B*|forward_fill_from_previous:[Singlife] Singlife Shield Plan 3|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield B
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- Proton Beam Therapy - Category 1,,300/treatment [Note (15a and 15b)],Covered under Additional Benefits,-,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,-,Covered under Additional Benefits,Covered under Additional Benefits,03_class_b1_plans.pdf,class_b1_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- Proton Beam Therapy - Category 2,,500/treatment [Note (15a and 15b)],Covered under Additional Benefits,-,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,-,Covered under Additional Benefits,Covered under Additional Benefits,03_class_b1_plans.pdf,class_b1_plans,2,1,forward_fill_from_previous:[Income] Enhanced IncomeShield Basic|forward_fill_from_previous:[AIA] HealthShield Gold Max C*|forward_fill_from_previous:[AIA] HealthShield Gold Max B Lite|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B*|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B PLUS|forward_fill_from_previous:[Prudential] PRUShield B*|forward_fill_from_previous:[Singlife] Singlife Shield Plan 3|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield B
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,- Proton Beam Therapy - Category 3,,"2,500/treatment [Note (15a and 15b)]",Covered under Additional Benefits,-,Covered under Additional Benefits,Covered under Additional Benefits,Covered under Additional Benefits,-,Covered under Additional Benefits,Covered under Additional Benefits,03_class_b1_plans.pdf,class_b1_plans,2,1,forward_fill_from_previous:[Income] Enhanced IncomeShield Basic|forward_fill_from_previous:[AIA] HealthShield Gold Max C*|forward_fill_from_previous:[AIA] HealthShield Gold Max B Lite|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B*|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth B PLUS|forward_fill_from_previous:[Prudential] PRUShield B*|forward_fill_from_previous:[Singlife] Singlife Shield Plan 3|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield B
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,Kidney Dialysis,,"2,500/mth",As Charged (Pro-ration factor waived for applicable treatment by preferred partners) (Note (11)),"24,000/yr",As Charged,"46,000/yr",As Charged,"24,000/yr",As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,Immunosuppressants for Organ Transplants,,600/mth,As Charged,"5,000/yr",As Charged,"18,000/yr",As Charged,"5,000/yr",As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,Erythropoietin for Chronic Kidney Failure,,600/mth,As Charged,"5,000/yr",As Charged,"5,500/yr",As Charged,"5,000/yr",As Charged,As Charged,03_class_b1_plans.pdf,class_b1_plans,2,1,
Outpatient Treatment: | Patients receiving treatment for one primary cancer | Radiotherapy for Cancer,Long-Term Parenteral Nutrition,,-,As Charged,-,As Charged,"4,000/mth",As Charged,-,As Charged,"3,980/mth",03_class_b1_plans.pdf,class_b1_plans,2,1,
