Premiums,[Income] IncomeShield Plan B*,[Income] Enhanced IncomeShield Basic,[AIA] HealthShield Gold Max C*,[AIA] HealthShield Gold Max B Lite,[Great Eastern] GREAT SupremeHealth B*,[Great Eastern] GREAT SupremeHealth B PLUS,[Prudential] PRUShield B*,[Singlife] Singlife Shield Plan 3,[Raffles Health Insurance] Raffles Shield B
Age Next Birthday:,,,,,,,,,
1 to 20,173 - 202,175 - 191,209,217,186 - 194,197 - 206,187,219,205
21 to 30,289,292,326,326,301,314 - 332,294,329,315
31 to 40,446 - 456,469 - 480,501,501,462,475 - 498,450,499,482
41 to 50,622,664 - 683,662,700 - 738,655,678 - 694,613,718 - 734,663
51 to 60,902 - 914,982 - 995,"973 - 1,007","1,034 - 1,057","1,024","1,044 - 1,133",896 - 907,"1,098 - 1,106","1,043 - 1,052"
61 to 65,"1,236","1,378","1,312","1,406","1,377 - 1,424","1,391 - 1,576","1,218","1,528","1,424"
66 to 70,"1,539","1,656","1,513","1,712","1,711 - 1,791","1,717 - 2,027","1,475","1,853","1,744"
71 to 73,"1,801","2,033","1,888","2,093","2,160 - 2,290","2,185 - 2,321","1,863","2,390","2,144"
74 to 75,"2,011","2,313","2,127","2,374","2,495 - 2,596","2,526 - 2,606","2,094","2,711","2,428"
76 to 78,"2,361","2,717","2,486","2,954","2,867 - 2,923","2,907 - 3,096","2,715","3,506","2,805"
79 to 80,"2,438","2,938","2,642","3,015","3,210","3,263 - 3,379","2,705","3,580","3,053"
81 to 83,"2,258","3,152","2,761","3,151","3,327","3,518 - 3,629","2,535","4,304","3,175"
84 to 85,"2,753","3,674","3,030","3,465","3,735","3,951 - 4,011","2,834","4,590","3,813"
86 to 90,"2,931 - 3,085","3,942 - 4,252","3,177","3,723 - 3,993","4,113 - 4,370","4,165 - 4,428","3,004","5,139 - 5,269","4,127 - 4,443"
Premiums above age 90,"3,333 - 4,230","4,713 - 5,949","3,207 - 3,565","4,203 - 4,907","4,501 - 5,239","4,530 - 5,274","4,080 - 4,500","5,564 - 6,000","4,821 - 5,250"
